source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
986,29.610,HIGH,toca_abajo,-32.1,-0.482,92.6,97.3,13.1,18.0,97.3,100.1,41.8,punto adelante de la componente
987,29.640,HIGH,toca_abajo,-23.5,-0.353,90.0,95.1,10.5,19.5,95.1,100.1,38.2,punto adelante de la componente
988,29.670,HIGH,toca_abajo,-16.2,-0.242,88.1,92.5,8.6,16.7,92.5,100.1,33.1,punto adelante de la componente
989,29.700,HIGH,toca_abajo,-16.2,-0.242,88.1,92.5,8.6,16.7,92.5,100.1,33.1,punto adelante de la componente
990,29.730,HIGH,toca_abajo,-5.3,-0.079,83.1,87.4,3.6,16.4,87.4,100.1,21.6,punto adelante de la componente
991,29.760,HIGH,toca_abajo,8.6,0.129,78.2,83.4,-1.3,19.6,83.4,100.1,11.0,punto adelante de la componente
992,29.790,HIGH,toca_abajo,16.8,0.251,78.3,83.4,-1.2,19.4,83.4,100.1,11.1,punto adelante de la componente
993,29.820,HIGH,toca_abajo,16.8,0.251,78.3,83.4,-1.2,19.4,83.4,100.1,11.1,punto adelante de la componente
994,29.850,HIGH,toca_abajo,19.8,0.296,80.7,85.5,1.2,18.2,85.5,100.1,16.7,punto adelante de la componente
995,29.880,HIGH,toca_abajo,20.7,0.311,87.5,85.1,8.0,-8.9,85.1,99.7,15.5,punto adelante de la componente
996,29.910,HIGH,toca_abajo,22.7,0.340,93.5,80.2,14.0,-41.9,80.2,99.7,1.9,punto adelante de la componente
997,29.940,HIGH,toca_abajo,22.7,0.340,93.5,80.2,14.0,-41.9,80.2,99.7,1.9,punto adelante de la componente
998,29.970,HIGH,toca_abajo,27.7,0.415,94.5,76.0,15.0,-52.0,76.0,99.8,-9.9,punto adelante de la componente
999,30.000,HIGH,toca_abajo,31.0,0.465,91.4,75.1,11.9,-48.4,75.1,99.9,-12.2,punto adelante de la componente
1000,30.030,HIGH,toca_abajo,31.0,0.465,91.4,75.1,11.9,-48.4,75.1,99.9,-12.2,punto adelante de la componente
1001,30.060,HIGH,toca_abajo,33.0,0.495,90.0,73.9,10.5,-48.4,73.9,100.1,-15.7,punto adelante de la componente
1002,30.090,HIGH,toca_abajo,44.7,0.670,86.8,62.4,7.3,-60.2,62.4,100.5,-41.1,punto adelante de la componente
1003,30.120,HIGH,toca_abajo,44.7,0.670,86.8,62.4,7.3,-60.2,62.4,100.5,-41.1,punto adelante de la componente
1004,30.150,HIGH,toca_abajo,52.5,0.788,85.4,50.6,5.9,-68.2,50.6,100.5,-56.0,punto adelante de la componente
1005,30.180,HIGH,toca_abajo,58.5,0.878,84.7,43.4,5.2,-71.2,43.4,100.5,-61.6,punto adelante de la componente
