source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
47,1.411,HIGH,toca_abajo,35.3,0.529,73.0,62.8,-6.5,-35.0,62.8,100.1,-39.9,punto adelante de la componente
48,1.441,HIGH,toca_abajo,35.0,0.525,72.3,63.1,-7.2,-32.3,63.1,100.0,-39.4,punto adelante de la componente
49,1.471,HIGH,toca_abajo,31.6,0.474,73.6,64.8,-5.9,-31.2,64.8,100.1,-36.4,punto adelante de la componente
50,1.502,HIGH,toca_abajo,31.6,0.474,73.6,64.8,-5.9,-31.2,64.8,100.1,-36.4,punto adelante de la componente
51,1.532,HIGH,toca_abajo,27.3,0.409,73.1,68.5,-6.4,-17.8,68.5,100.1,-29.0,punto adelante de la componente
52,1.562,HIGH,toca_abajo,18.3,0.274,77.2,72.5,-2.3,-18.0,72.5,100.1,-19.4,punto adelante de la componente
53,1.592,HIGH,toca_abajo,18.3,0.274,77.2,72.5,-2.3,-18.0,72.5,100.1,-19.4,punto adelante de la componente
54,1.622,HIGH,toca_abajo,10.1,0.151,80.3,75.7,0.8,-17.7,75.7,100.1,-10.8,punto adelante de la componente
55,1.652,HIGH,toca_abajo,2.7,0.041,83.2,78.6,3.7,-17.8,78.6,100.1,-2.7,punto adelante de la componente
56,1.682,HIGH,toca_abajo,2.7,0.041,83.2,78.6,3.7,-17.8,78.6,100.1,-2.7,punto adelante de la componente
57,1.712,HIGH,toca_abajo,2.8,0.042,82.4,78.0,2.9,-16.9,78.0,100.1,-4.2,punto adelante de la componente
58,1.742,HIGH,toca_abajo,2.8,0.042,82.4,78.0,2.9,-16.9,78.0,100.1,-4.2,punto adelante de la componente
59,1.772,HIGH,toca_abajo,-2.8,-0.042,87.4,79.1,7.9,-29.8,79.1,100.1,-1.1,punto adelante de la componente
60,1.802,HIGH,toca_abajo,-1.0,-0.015,86.5,78.0,7.0,-30.6,78.0,100.1,-4.4,punto adelante de la componente
61,1.832,HIGH,toca_abajo,-1.0,-0.015,86.5,78.0,7.0,-30.6,78.0,100.1,-4.4,punto adelante de la componente
62,1.862,HIGH,toca_abajo,-2.2,-0.033,85.4,78.2,5.9,-26.6,78.2,100.1,-3.9,punto adelante de la componente
63,1.892,HIGH,toca_abajo,-8.4,-0.125,87.9,80.3,8.4,-27.6,80.3,100.1,2.4,punto adelante de la componente
64,1.922,HIGH,toca_abajo,-11.6,-0.173,88.2,81.4,8.7,-25.2,81.4,100.1,5.5,punto adelante de la componente
65,1.952,HIGH,toca_abajo,-11.6,-0.173,88.2,81.4,8.7,-25.2,81.4,100.1,5.5,punto adelante de la componente
66,1.982,HIGH,toca_abajo,-13.6,-0.204,88.5,82.1,9.0,-23.8,82.1,100.1,7.4,punto adelante de la componente
67,2.012,HIGH,toca_abajo,-15.6,-0.235,88.6,82.9,9.1,-21.6,82.9,100.1,9.7,punto adelante de la componente
68,2.042,HIGH,toca_abajo,-14.4,-0.215,88.3,82.3,8.8,-22.8,82.3,100.1,7.9,punto adelante de la componente
69,2.072,HIGH,toca_abajo,-14.4,-0.215,88.3,82.3,8.8,-22.8,82.3,100.1,7.9,punto adelante de la componente
70,2.102,HIGH,toca_abajo,-16.5,-0.248,88.2,82.8,8.7,-20.7,82.8,100.1,9.3,punto adelante de la componente
71,2.132,HIGH,toca_abajo,-16.5,-0.248,88.2,82.8,8.7,-20.7,82.8,100.1,9.3,punto adelante de la componente
72,2.162,HIGH,toca_abajo,-16.4,-0.246,86.7,82.3,7.2,-17.1,82.3,100.1,7.9,punto adelante de la componente
73,2.192,HIGH,toca_abajo,-20.6,-0.309,86.1,83.6,6.6,-9.8,83.6,100.1,11.7,punto adelante de la componente
74,2.222,HIGH,toca_abajo,-25.3,-0.380,85.9,85.5,6.4,-1.9,85.5,100.1,16.7,punto adelante de la componente
75,2.252,HIGH,toca_abajo,-25.3,-0.380,85.9,85.5,6.4,-1.9,85.5,100.1,16.7,punto adelante de la componente
76,2.282,HIGH,toca_abajo,-28.8,-0.433,86.3,86.7,6.8,1.4,86.7,100.1,19.8,punto adelante de la componente
77,2.312,HIGH,toca_abajo,-29.7,-0.445,85.2,86.4,5.7,4.8,86.4,100.1,19.1,punto adelante de la componente
78,2.342,HIGH,toca_abajo,-29.7,-0.445,85.2,86.4,5.7,4.8,86.4,100.1,19.1,punto adelante de la componente
79,2.372,HIGH,toca_abajo,-28.5,-0.427,84.0,84.6,4.5,2.5,84.6,100.1,14.5,punto adelante de la componente
80,2.402,HIGH,toca_abajo,-25.8,-0.386,81.8,82.2,2.3,1.7,82.2,100.1,7.7,punto adelante de la componente
81,2.432,HIGH,toca_abajo,-25.8,-0.386,81.8,82.2,2.3,1.7,82.2,100.1,7.7,punto adelante de la componente
82,2.462,HIGH,toca_abajo,-24.6,-0.369,77.8,80.3,-1.7,9.9,80.3,100.1,2.4,punto adelante de la componente
83,2.492,HIGH,toca_abajo,-19.1,-0.286,72.5,76.0,-7.0,14.0,76.0,100.1,-9.8,punto adelante de la componente
84,2.523,HIGH,toca_abajo,-19.1,-0.286,72.5,76.0,-7.0,14.0,76.0,100.1,-9.8,punto adelante de la componente
85,2.553,HIGH,toca_abajo,-14.6,-0.219,67.5,72.4,-12.0,18.5,72.4,100.1,-19.7,punto adelante de la componente
86,2.583,HIGH,toca_abajo,-17.9,-0.269,65.9,73.9,-13.6,28.8,73.9,99.9,-15.4,punto adelante de la componente
87,2.613,HIGH,toca_abajo,-17.9,-0.269,65.9,73.9,-13.6,28.8,73.9,99.9,-15.4,punto adelante de la componente
88,2.643,HIGH,toca_abajo,-19.3,-0.289,63.4,75.3,-16.1,39.3,75.3,99.9,-11.7,punto adelante de la componente
89,2.673,HIGH,toca_abajo,-19.3,-0.289,63.4,75.3,-16.1,39.3,75.3,99.9,-11.7,punto adelante de la componente
90,2.703,HIGH,toca_abajo,-26.3,-0.395,63.1,79.6,-16.4,48.8,79.6,99.9,0.3,punto adelante de la componente
91,2.733,HIGH,toca_abajo,-38.9,-0.583,69.5,87.5,-10.0,51.7,87.5,100.1,22.0,punto adelante de la componente
92,2.763,HIGH,toca_abajo,-55.6,-0.834,77.7,106.6,-1.8,63.8,106.6,100.3,53.9,punto adelante de la componente
93,2.793,HIGH,toca_abajo,-55.6,-0.834,77.7,106.6,-1.8,63.8,106.6,100.3,53.9,punto adelante de la componente
94,2.823,HIGH,toca_abajo,-64.8,-0.972,91.7,117.5,12.2,60.8,117.5,100.2,62.5,punto adelante de la componente
95,2.853,HIGH,toca_abajo,-69.5,-1.000,103.8,125.4,24.3,56.2,125.4,100.2,66.7,punto adelante de la componente
96,2.883,HIGH,toca_abajo,-69.5,-1.000,103.8,125.4,24.3,56.2,125.4,100.2,66.7,punto adelante de la componente
97,2.913,HIGH,toca_abajo,-71.2,-1.000,111.2,128.6,31.7,50.5,128.6,100.3,68.1,punto adelante de la componente
98,2.943,HIGH,toca_abajo,-70.8,-1.000,112.9,128.5,33.4,47.3,128.5,100.2,68.0,punto adelante de la componente
99,2.973,HIGH,toca_abajo,-70.8,-1.000,112.9,128.5,33.4,47.3,128.5,100.2,68.0,punto adelante de la componente
100,3.003,HIGH,toca_abajo,-68.6,-1.000,110.4,125.1,30.9,45.4,125.1,100.2,66.5,punto adelante de la componente
101,3.033,HIGH,toca_abajo,-68.6,-1.000,110.4,125.1,30.9,45.4,125.1,100.2,66.5,punto adelante de la componente
102,3.063,HIGH,toca_abajo,-62.3,-0.934,100.8,115.4,21.3,45.1,115.4,100.2,61.1,punto adelante de la componente
103,3.093,HIGH,toca_abajo,-50.8,-0.762,86.3,102.0,6.8,47.2,102.0,100.2,48.6,punto adelante de la componente
104,3.123,HIGH,toca_abajo,-33.9,-0.508,72.6,89.1,-6.9,48.9,89.1,100.2,25.9,punto adelante de la componente
105,3.153,HIGH,toca_abajo,-33.9,-0.508,72.6,89.1,-6.9,48.9,89.1,100.2,25.9,punto adelante de la componente
106,3.183,HIGH,toca_abajo,-12.5,-0.188,60.1,77.3,-19.4,49.9,77.3,100.2,-6.3,punto adelante de la componente
107,3.213,HIGH,toca_abajo,14.8,0.222,45.3,62.4,-34.2,49.9,62.4,100.1,-40.8,punto adelante de la componente
108,3.243,HIGH,toca_abajo,29.2,0.438,37.0,50.4,-42.5,43.1,50.4,100.1,-55.7,punto adelante de la componente
109,3.273,HIGH,toca_abajo,29.2,0.438,37.0,50.4,-42.5,43.1,50.4,100.1,-55.7,punto adelante de la componente
110,3.303,HIGH,toca_abajo,32.0,0.480,34.1,44.0,-45.4,34.6,44.0,100.1,-60.7,punto adelante de la componente
111,3.333,HIGH,toca_abajo,31.5,0.473,34.4,46.6,-45.1,40.6,46.6,100.1,-58.9,punto adelante de la componente
112,3.363,HIGH,toca_abajo,18.6,0.279,40.3,57.7,-39.2,50.6,57.7,100.1,-47.6,punto adelante de la componente
113,3.393,HIGH,toca_abajo,18.6,0.279,40.3,57.7,-39.2,50.6,57.7,100.1,-47.6,punto adelante de la componente
114,3.423,HIGH,toca_abajo,-6.8,-0.102,52.4,69.5,-27.1,49.8,69.5,100.1,-26.6,punto adelante de la componente
115,3.453,HIGH,toca_abajo,-28.8,-0.431,63.7,80.3,-15.8,48.7,80.3,100.1,2.2,punto adelante de la componente
116,3.483,HIGH,toca_abajo,-28.8,-0.431,63.7,80.3,-15.8,48.7,80.3,100.1,2.2,punto adelante de la componente
117,3.514,HIGH,toca_abajo,-41.3,-0.620,72.1,93.1,-7.4,54.6,93.1,99.6,33.8,punto adelante de la componente
118,3.544,HIGH,toca_abajo,-51.1,-0.766,79.0,103.7,-0.5,58.6,103.7,99.5,49.8,punto adelante de la componente
119,3.574,HIGH,toca_abajo,-51.1,-0.766,79.0,103.7,-0.5,58.6,103.7,99.5,49.8,punto adelante de la componente
120,3.604,HIGH,toca_abajo,-58.8,-0.882,85.4,112.0,5.9,61.4,112.0,100.1,58.5,punto adelante de la componente
121,3.634,HIGH,toca_abajo,-62.9,-0.943,91.8,111.8,12.3,54.7,111.8,100.1,58.3,punto adelante de la componente
122,3.664,HIGH,toca_abajo,-62.9,-0.943,91.8,111.8,12.3,54.7,111.8,100.1,58.3,punto adelante de la componente
123,3.694,HIGH,toca_abajo,-65.3,-0.980,99.2,110.5,19.7,38.7,110.5,100.1,57.3,punto adelante de la componente
124,3.724,HIGH,toca_abajo,-65.4,-0.981,100.2,108.4,20.7,29.5,108.4,100.1,55.5,punto adelante de la componente
125,3.754,HIGH,toca_abajo,-62.3,-0.934,95.5,103.7,16.0,29.6,103.7,100.1,50.6,punto adelante de la componente
126,3.784,HIGH,toca_abajo,-62.3,-0.934,95.5,103.7,16.0,29.6,103.7,100.1,50.6,punto adelante de la componente
127,3.814,MEDIUM,toca_abajo,-56.9,-0.854,91.2,99.5,11.7,29.8,99.5,100.1,45.1,punto adelante de la componente
128,3.844,HIGH,toca_abajo,-42.9,-0.643,85.2,93.5,5.7,29.8,93.5,100.1,35.1,punto adelante de la componente
129,3.874,HIGH,toca_abajo,-42.9,-0.643,85.2,93.5,5.7,29.8,93.5,100.1,35.1,punto adelante de la componente
130,3.904,HIGH,toca_abajo,-19.2,-0.288,79.7,86.3,0.2,24.5,86.3,100.1,18.9,punto adelante de la componente
131,3.934,HIGH,toca_abajo,-3.3,-0.049,78.8,79.8,-0.7,3.9,79.8,100.0,0.8,punto adelante de la componente
132,3.964,HIGH,toca_abajo,-3.3,-0.049,78.8,79.8,-0.7,3.9,79.8,100.0,0.8,punto adelante de la componente
133,3.994,MEDIUM,toca_abajo,-1.1,-0.017,79.2,79.5,-0.3,1.2,79.5,100.0,0.0,punto adelante de la componente
134,4.024,MEDIUM,toca_abajo,-2.1,-0.031,79.5,79.5,0.0,0.0,79.5,100.1,0.0,punto adelante de la componente
135,4.054,MEDIUM,toca_abajo,-7.8,-0.117,79.5,80.6,0.0,4.7,80.6,101.3,3.3,punto adelante de la componente
136,4.084,MEDIUM,toca_abajo,-7.8,-0.117,79.5,80.6,0.0,4.7,80.6,101.3,3.3,punto adelante de la componente
137,4.114,MEDIUM,toca_abajo,-34.4,-0.515,79.5,104.1,0.0,65.5,104.1,103.3,55.9,punto adelante de la componente
138,4.144,LOW,toca_abajo,-87.6,-1.000,149.9,,70.4,,104.1,103.3,55.9,ultimo objetivo confiable (memoria)
139,4.174,LOW,toca_abajo,-87.6,-1.000,149.9,,70.4,,104.1,103.3,55.9,ultimo objetivo confiable (memoria)
140,4.204,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
141,4.234,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
