source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
67,2.012,HIGH,toca_abajo,58.8,0.883,52.6,44.6,-26.9,-29.1,44.6,100.1,-60.4,punto adelante de la componente
68,2.042,HIGH,toca_abajo,57.2,0.857,54.2,46.4,-25.3,-28.5,46.4,100.1,-59.0,punto adelante de la componente
69,2.072,HIGH,toca_abajo,55.5,0.832,56.5,48.5,-23.0,-29.0,48.5,100.1,-57.4,punto adelante de la componente
70,2.102,HIGH,toca_abajo,55.3,0.829,54.5,47.6,-25.0,-25.8,47.6,100.1,-58.1,punto adelante de la componente
71,2.132,HIGH,toca_abajo,55.3,0.829,54.5,47.6,-25.0,-25.8,47.6,100.1,-58.1,punto adelante de la componente
72,2.162,HIGH,toca_abajo,51.7,0.775,55.5,49.1,-24.0,-23.9,49.1,100.1,-56.8,punto adelante de la componente
73,2.192,HIGH,toca_abajo,48.4,0.726,57.4,51.0,-22.1,-24.0,51.0,100.1,-55.1,punto adelante de la componente
74,2.222,HIGH,toca_abajo,45.9,0.688,57.9,52.0,-21.6,-22.3,52.0,100.1,-54.2,punto adelante de la componente
75,2.252,HIGH,toca_abajo,41.0,0.614,60.8,55.2,-18.7,-21.4,55.2,100.1,-50.7,punto adelante de la componente
76,2.282,HIGH,toca_abajo,41.0,0.614,60.8,55.2,-18.7,-21.4,55.2,100.1,-50.7,punto adelante de la componente
77,2.312,HIGH,toca_abajo,33.3,0.500,58.1,57.2,-21.4,-3.6,57.2,100.2,-48.4,punto adelante de la componente
78,2.342,HIGH,toca_abajo,24.9,0.374,56.7,54.1,-22.8,-10.3,54.1,100.0,-51.9,punto adelante de la componente
79,2.372,HIGH,toca_abajo,15.4,0.231,57.8,58.7,-21.7,3.8,58.7,100.1,-46.3,punto adelante de la componente
80,2.402,HIGH,toca_abajo,15.4,0.231,57.8,58.7,-21.7,3.8,58.7,100.1,-46.3,punto adelante de la componente
81,2.432,HIGH,toca_abajo,3.4,0.051,58.1,65.0,-21.4,25.4,65.0,100.1,-36.1,punto adelante de la componente
82,2.462,HIGH,toca_abajo,-16.7,-0.250,67.5,73.6,-12.0,22.8,73.6,100.1,-16.5,punto adelante de la componente
83,2.492,HIGH,toca_abajo,-39.2,-0.588,75.0,85.1,-4.5,34.3,85.1,99.7,15.4,punto adelante de la componente
84,2.523,HIGH,toca_abajo,-54.4,-0.816,81.9,99.9,2.4,51.0,99.9,99.8,45.4,punto adelante de la componente
85,2.553,HIGH,toca_abajo,-54.4,-0.816,81.9,99.9,2.4,51.0,99.9,99.8,45.4,punto adelante de la componente
86,2.583,HIGH,toca_abajo,-63.6,-0.955,91.5,107.8,12.0,48.6,107.8,100.1,54.8,punto adelante de la componente
87,2.613,HIGH,toca_abajo,-69.3,-1.000,100.2,114.5,20.7,45.8,114.5,100.5,60.8,punto adelante de la componente
88,2.643,HIGH,toca_abajo,-69.3,-1.000,100.2,114.5,20.7,45.8,114.5,100.5,60.8,punto adelante de la componente
89,2.673,HIGH,toca_abajo,-69.1,-1.000,97.3,116.2,17.8,53.6,116.2,100.6,62.1,punto adelante de la componente
90,2.703,HIGH,toca_abajo,-70.3,-1.000,97.7,120.7,18.2,58.7,120.7,100.5,64.7,punto adelante de la componente
91,2.733,HIGH,toca_abajo,-70.3,-1.000,97.7,120.7,18.2,58.7,120.7,100.5,64.7,punto adelante de la componente
92,2.763,HIGH,toca_abajo,-69.6,-1.000,95.6,122.1,16.1,62.2,122.1,100.5,65.4,punto adelante de la componente
