source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
47,1.411,HIGH,toca_abajo,35.6,0.534,56.5,64.0,-23.0,27.7,64.0,100.1,-37.9,punto adelante de la componente
48,1.441,HIGH,toca_abajo,21.3,0.320,64.2,70.9,-15.3,24.7,70.9,100.1,-23.5,punto adelante de la componente
49,1.471,HIGH,toca_abajo,21.3,0.320,64.2,70.9,-15.3,24.7,70.9,100.1,-23.5,punto adelante de la componente
50,1.502,HIGH,toca_abajo,-4.1,-0.062,74.2,80.6,-5.3,24.1,80.6,100.1,3.3,punto adelante de la componente
51,1.532,HIGH,toca_abajo,-26.8,-0.402,83.9,89.4,4.4,20.9,89.4,100.1,26.4,punto adelante de la componente
52,1.562,HIGH,toca_abajo,-26.8,-0.402,83.9,89.4,4.4,20.9,89.4,100.1,26.4,punto adelante de la componente
53,1.592,HIGH,toca_abajo,-46.0,-0.689,96.1,101.0,16.6,18.9,101.0,100.1,47.3,punto adelante de la componente
54,1.622,HIGH,toca_abajo,-53.1,-0.797,105.7,108.2,26.2,9.7,108.2,100.1,55.3,punto adelante de la componente
55,1.652,HIGH,toca_abajo,-53.1,-0.797,105.7,108.2,26.2,9.7,108.2,100.1,55.3,punto adelante de la componente
56,1.682,HIGH,toca_abajo,-49.1,-0.737,102.8,104.3,23.3,5.7,104.3,100.1,51.2,punto adelante de la componente
57,1.712,HIGH,toca_abajo,-45.5,-0.683,98.9,101.1,19.4,8.5,101.1,100.1,47.3,punto adelante de la componente
58,1.742,HIGH,toca_abajo,-45.5,-0.683,98.9,101.1,19.4,8.5,101.1,100.1,47.3,punto adelante de la componente
59,1.772,HIGH,toca_abajo,-33.6,-0.504,92.2,93.4,12.7,4.8,93.4,100.1,35.0,punto adelante de la componente
60,1.802,HIGH,toca_abajo,-3.1,-0.046,77.5,80.7,-2.0,12.3,80.7,100.1,3.4,punto adelante de la componente
61,1.832,HIGH,toca_abajo,27.3,0.409,64.6,68.6,-14.9,15.2,68.6,100.1,-28.8,punto adelante de la componente
62,1.862,HIGH,toca_abajo,27.3,0.409,64.6,68.6,-14.9,15.2,68.6,100.1,-28.8,punto adelante de la componente
63,1.892,HIGH,toca_abajo,47.1,0.707,51.8,56.6,-27.7,18.6,56.6,100.1,-49.0,punto adelante de la componente
64,1.922,HIGH,toca_abajo,53.0,0.795,44.6,51.2,-34.9,24.6,51.2,100.1,-54.9,punto adelante de la componente
65,1.952,HIGH,toca_abajo,53.0,0.795,44.6,51.2,-34.9,24.6,51.2,100.1,-54.9,punto adelante de la componente
66,1.982,HIGH,toca_abajo,49.3,0.740,47.3,54.1,-32.2,25.2,54.1,100.1,-51.9,punto adelante de la componente
67,2.012,HIGH,toca_abajo,31.5,0.473,59.9,66.1,-19.6,23.1,66.1,100.1,-34.0,punto adelante de la componente
68,2.042,HIGH,toca_abajo,31.5,0.473,59.9,66.1,-19.6,23.1,66.1,100.1,-34.0,punto adelante de la componente
69,2.072,HIGH,toca_abajo,18.4,0.276,66.5,72.1,-13.0,21.4,72.1,100.1,-20.3,punto adelante de la componente
70,2.102,HIGH,toca_abajo,18.4,0.276,66.5,72.1,-13.0,21.4,72.1,100.1,-20.3,punto adelante de la componente
71,2.132,HIGH,toca_abajo,-4.5,-0.067,74.6,80.8,-4.9,23.1,80.8,100.1,3.7,punto adelante de la componente
72,2.162,HIGH,toca_abajo,-34.5,-0.517,88.5,93.4,9.0,19.0,93.4,100.1,35.0,punto adelante de la componente
73,2.192,HIGH,toca_abajo,-51.9,-0.779,102.4,106.2,22.9,14.8,106.2,100.1,53.4,punto adelante de la componente
74,2.222,HIGH,toca_abajo,-51.9,-0.779,102.4,106.2,22.9,14.8,106.2,100.1,53.4,punto adelante de la componente
75,2.252,HIGH,toca_abajo,-59.8,-0.897,115.6,117.1,36.1,5.8,117.1,100.1,62.1,punto adelante de la componente
76,2.282,HIGH,toca_abajo,-60.2,-0.903,117.4,117.5,37.9,0.3,117.5,100.1,62.4,punto adelante de la componente
77,2.312,HIGH,toca_abajo,-60.2,-0.903,117.4,117.5,37.9,0.3,117.5,100.1,62.4,punto adelante de la componente
78,2.342,HIGH,toca_abajo,-55.1,-0.827,110.8,110.5,31.3,-1.3,110.5,100.1,57.3,punto adelante de la componente
79,2.372,HIGH,toca_abajo,-45.3,-0.679,100.9,100.8,21.4,-0.5,100.8,100.1,46.9,punto adelante de la componente
80,2.402,HIGH,toca_abajo,-45.3,-0.679,100.9,100.8,21.4,-0.5,100.8,100.1,46.9,punto adelante de la componente
81,2.432,HIGH,toca_abajo,-23.8,-0.357,87.9,89.0,8.4,4.3,89.0,100.1,25.4,punto adelante de la componente
82,2.462,HIGH,toca_abajo,5.7,0.086,74.3,77.6,-5.2,13.0,77.6,100.1,-5.4,punto adelante de la componente
83,2.492,HIGH,toca_abajo,5.7,0.086,74.3,77.6,-5.2,13.0,77.6,100.1,-5.4,punto adelante de la componente
84,2.523,HIGH,toca_abajo,32.4,0.486,62.9,66.1,-16.6,12.4,66.1,100.1,-34.0,punto adelante de la componente
85,2.553,HIGH,toca_abajo,52.8,0.792,46.9,51.0,-32.6,15.8,51.0,100.1,-55.1,punto adelante de la componente
86,2.583,HIGH,toca_abajo,52.8,0.792,46.9,51.0,-32.6,15.8,51.0,100.1,-55.1,punto adelante de la componente
87,2.613,HIGH,toca_abajo,56.7,0.850,40.4,46.4,-39.1,22.5,46.4,100.1,-59.0,punto adelante de la componente
