source_frame,source_time_s,estado,origen_componente,ang_actual,ang_estados,x_near,x_mid,e_lat,e_head,target_x,target_y,ang_lookahead,motivo_target
480,14.414,HIGH,toca_abajo,1.2,0.018,64.4,66.6,-15.1,8.6,66.6,100.1,-32.9,punto adelante de la componente
481,14.444,HIGH,toca_abajo,2.6,0.039,63.8,64.8,-15.7,3.7,64.8,100.0,-36.4,punto adelante de la componente
482,14.474,HIGH,toca_abajo,4.7,0.070,63.3,64.7,-16.2,5.3,64.7,100.2,-36.9,punto adelante de la componente
483,14.505,HIGH,toca_abajo,8.2,0.124,61.2,64.9,-18.3,14.2,64.9,100.1,-36.3,punto adelante de la componente
484,14.535,HIGH,toca_abajo,8.2,0.124,61.2,64.9,-18.3,14.2,64.9,100.1,-36.3,punto adelante de la componente
485,14.565,HIGH,toca_abajo,12.7,0.191,62.9,61.3,-16.6,-6.1,61.3,99.8,-42.0,punto adelante de la componente
486,14.595,HIGH,toca_abajo,16.8,0.252,60.8,60.5,-18.7,-1.3,60.5,100.1,-43.6,punto adelante de la componente
487,14.625,HIGH,toca_abajo,18.8,0.281,56.3,57.9,-23.2,6.5,57.9,100.1,-47.3,punto adelante de la componente
488,14.655,HIGH,toca_abajo,18.8,0.281,56.3,57.9,-23.2,6.5,57.9,100.1,-47.3,punto adelante de la componente
489,14.685,HIGH,toca_abajo,19.0,0.285,55.6,57.4,-23.9,7.3,57.4,100.1,-47.9,punto adelante de la componente
490,14.715,HIGH,toca_abajo,17.9,0.269,55.9,57.7,-23.6,6.8,57.7,100.1,-47.6,punto adelante de la componente
491,14.745,HIGH,toca_abajo,20.9,0.313,55.1,56.9,-24.4,7.3,56.9,100.1,-48.6,punto adelante de la componente
492,14.775,HIGH,toca_abajo,22.9,0.343,54.1,56.1,-25.4,7.8,56.1,100.1,-49.7,punto adelante de la componente
493,14.805,HIGH,toca_abajo,22.9,0.343,54.1,56.1,-25.4,7.8,56.1,100.1,-49.7,punto adelante de la componente
494,14.835,HIGH,toca_abajo,20.3,0.304,54.7,56.7,-24.8,8.0,56.7,100.1,-48.9,punto adelante de la componente
495,14.865,HIGH,toca_abajo,17.7,0.265,88.7,86.7,9.2,-8.1,86.7,100.1,19.8,punto adelante de la componente
496,14.895,HIGH,toca_abajo,17.7,0.265,88.7,86.7,9.2,-8.1,86.7,100.1,19.8,punto adelante de la componente
497,14.925,HIGH,toca_abajo,10.4,0.156,92.2,89.9,12.7,-9.2,89.9,100.1,27.5,punto adelante de la componente
498,14.955,HIGH,toca_abajo,9.5,0.142,59.0,60.9,-20.5,7.3,60.9,100.1,-43.1,punto adelante de la componente
499,14.985,HIGH,toca_abajo,10.0,0.150,58.9,60.8,-20.6,7.3,60.8,100.1,-43.3,punto adelante de la componente
500,15.015,HIGH,toca_abajo,10.0,0.150,58.9,60.8,-20.6,7.3,60.8,100.1,-43.3,punto adelante de la componente
501,15.045,HIGH,toca_abajo,6.3,0.094,91.5,89.4,12.0,-8.4,89.4,100.1,26.4,punto adelante de la componente
502,15.075,HIGH,toca_abajo,1.3,0.019,93.1,90.9,13.6,-8.4,90.9,100.1,29.8,punto adelante de la componente
503,15.105,HIGH,toca_abajo,-3.7,-0.056,95.4,93.6,15.9,-7.1,93.6,100.1,35.2,punto adelante de la componente
504,15.135,HIGH,toca_abajo,-12.2,-0.183,96.6,94.1,17.1,-9.8,94.1,100.1,36.3,punto adelante de la componente
505,15.165,HIGH,toca_abajo,-12.2,-0.183,96.6,94.1,17.1,-9.8,94.1,100.1,36.3,punto adelante de la componente
506,15.195,HIGH,toca_abajo,-16.3,-0.244,97.3,94.7,17.8,-10.0,94.7,100.1,37.4,punto adelante de la componente
507,15.225,HIGH,toca_abajo,-22.3,-0.334,97.9,95.3,18.4,-10.4,95.3,100.1,38.4,punto adelante de la componente
508,15.255,HIGH,toca_abajo,-26.7,-0.400,98.1,95.6,18.6,-10.0,95.6,100.1,39.0,punto adelante de la componente
509,15.285,HIGH,toca_abajo,-30.2,-0.453,99.8,97.2,20.3,-10.0,97.2,100.1,41.7,punto adelante de la componente
510,15.315,HIGH,toca_abajo,-30.2,-0.453,99.8,97.2,20.3,-10.0,97.2,100.1,41.7,punto adelante de la componente
511,15.345,HIGH,toca_abajo,-43.1,-0.647,98.6,112.3,19.1,41.1,112.3,98.9,57.2,punto adelante de la componente
512,15.375,HIGH,toca_abajo,-56.8,-0.853,105.1,121.0,25.6,49.1,121.0,100.0,64.3,punto adelante de la componente
513,15.405,MEDIUM,toca_abajo,-68.0,-1.000,129.3,130.0,49.8,2.7,130.0,100.0,68.4,punto adelante de la componente
514,15.435,MEDIUM,toca_abajo,-73.8,-1.000,131.5,133.8,52.0,10.3,133.8,101.8,71.4,punto adelante de la componente
515,15.465,MEDIUM,toca_abajo,-73.8,-1.000,131.5,133.8,52.0,10.3,133.8,101.8,71.4,punto adelante de la componente
516,15.495,MEDIUM,toca_abajo,-79.9,-1.000,121.5,156.2,42.0,74.2,156.2,104.7,78.7,punto adelante de la componente
517,15.526,LOW,toca_abajo,-85.9,-1.000,58.8,,-20.7,,156.2,104.7,78.7,ultimo objetivo confiable (memoria)
518,15.556,PERDIDA,sin_componente,0.0,0.000,,,,,,,0.0,sin objetivo
